VOU_VEN_GRP	VOU_VEN_CD	VOU_INV_NO	VOU_COMMENT	VOU_INV_DATE	VOU_RECEIVED_DT	VOU_REFERENCE	VOU_TO_BE_PAID	VOUD_RATE	VOU_CO	VOUD_DB_SEG1	VOUD_DB_SEG2	VOUD_DB_SEG3	VOUD_DB_SEG4
COMM	LI4298	BR1001363_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	615.75	615.75	732	732	20052	2000	0
COMM	LI4414	BR1001389_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	621.00	621.00	732	732	20052	2000	0
COMM	LI5481	BR1001399_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	4669.84	4669.84	732	732	20052	2000	0
COMM	LI5527	BR1001403_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	2582.25	2582.25	732	732	20052	2000	0
COMM	LI4342	MX100964_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	484.06	484.06	732	732	20052	2000	0
COMM	LI4409	MX100977_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	635.00	635.00	732	732	20052	2000	0
COMM	LI5552	MX101025_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	2582.25	2582.25	732	732	20052	2000	0
COMM	LI5493	BR1001400_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	1546.29	1546.29	732	732	20052	2000	0
COMM	LI5489	CH100134_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	9765.00	9765.00	732	732	20052	2000	0
COMM	LI5480	EC1001293_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	2411.65	2411.65	732	732	20052	2000	0
COMM	LI5557	HK100056_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	2399.00	2399.00	732	732	20052	2000	0
COMM	LI5526	MX101012_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	1053.01	1053.01	732	732	20052	2000	0
COMM	LI2002	BR1001356_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	1596.00	1596.00	732	732	20052	2000	0
COMM	LI1894	MX100909_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	398.00	398.00	732	732	20052	2000	0
COMM	LI2013	MX100920_7/20/2017	7/13/2017 - 7/19/2017	7/20/2017	7/20/2017	COMMISSIONS 7/20/2017	1497.00	1497.00	732	732	20052	2000	0
